SM TRATORES LTDA;CNPJ: 02.367.369/0001-62;NIRE: 31205375095;
FILIAL: Todas;SINTÉTICA INICIAL: .  .  .  .  . .;SINTÉTICA FINAL: 9.99.99.99.99.9.;DATA: 19/09/2025 HORA: 10:09:24;
PERÍODO DE: 01/05/2025 A 31/05/2025;NÍVEL: 9  DIÁRIO:     0 INCLUI CONTAS INTEGRADAS?: Não;
BALANCETE MENSAL:  DA FILIAL UNAI;

Código;Descrição da conta;Saldo anterior;Débito;Crédito;Saldo atual;
1;ATIVO;162761809,75;60166690,74;-70657708,97;152270791,52;
1.01;ATIVO CIRCULANTE;118620305,18;44584403,20;-55053224,41;108151483,97;
1.01.01;CAIXA E EQUIVALENTES DE CAIXA;7842000,45;26788441,70;-34650405,50;-19963,35;
1.01.01.01;CAIXA E EQUIVALENTES DE CAIXA;14633,00;202311,55;-189414,49;27530,06;
129;CAIXA FILIAL (BRASILIA);2507,56;74305,53;-74095,36;2717,73;
910046;CAIXA FILIAL (CRISTALINA);2434,31;46333,44;-41583,40;7184,35;
906982;CAIXA FILIAL (FORMOSA);1769,13;55886,21;-57431,61;223,73;
86;CAIXA MATRIZ (UNAI);7922,00;25786,37;-16304,12;17404,25;
1.01.01.02;BANCOS;84335,53;22609205,89;-22754370,69;-60829,27;
902735;BANCO BRADESCO C/C 37277-3 - BSB;383,40;0,31;-171,70;212,01;
902725;BANCO BRADESCO S/A 7777-1;1802,69;1758951,36;-1758673,62;2080,43;
902728;BANCO BRADESCO S/A C/C 13171-7 (FUNDO);0;5361537,76;-5361537,76;0;
1522;BANCO DO BRASIL S/A 4699-X;0;14344322,88;-14344322,88;0;
902724;BANCO ITAU S/A AG: 1505 C/C 10666-4;1,00;255,85;-265,10;-8,25;
905393;BANCO SANTANDER CONTA 13 002899-2;0;16,00;-16,00;0;
909323;CAIXA ECONOMICA FEDERAL C/C 00000075-6;8660,53;142000,00;-142327,85;8332,68;
902732;SICOOB CREDIUNAI;73487,91;1002121,73;-1147055,78;-71446,14;
1.01.01.04;APLICACOES FINANCEIRAS;7743031,92;3485725,22;-11215421,28;13335,86;
902745;APLICACOES BANCO BRADESCO S/A 7777-1 - UNAÍ;0;0,15;-0,15;0;
911836;APLICACOES BANCO BRASIL RENDE FACIL;7582193,00;879089,43;-8451796,58;9485,85;
911157;APLICACOES BANCO ITAU;246,60;9,25;-255,85;0;
905396;APLICACOES BANCO SANTANDER CONTAMAX;108,88;0,02;-16,00;92,90;
902744;APLICACOES BCO BRADESCO S/A 37277-3 - BSB;0;0,40;-0,40;0;
905374;APLICACOES FUNDO CAPITALIZACAO REDE;160483,44;2606625,97;-2763352,30;3757,11;
1.01.01.05;BAIXAS FINANCEIRAS ENTRE FILIAIS;0;491199,04;-491199,04;0;
903264;TRANSFERENCIA DE NUMERARIOS;0;491199,04;-491199,04;0;
1.01.02;CREDITOS - EXCLUIR;40173307,10;7401882,41;-12202098,03;35373091,48;
1.01.02.01;CLIENTES;40003994,90;7326326,98;-12031663,36;35298658,52;
1.01.02.02;CREDITOS;169312,20;71037,55;-165916,79;74432,96;
903091;(-) CHEQUES A COMPENSAR;24637,87;20200,00;-44837,87;0;
904857;CHEQUES A RECEBER;-24637,87;44837,87;-20200,00;0;
904647;DEVOLUCOES DE COMPRAS;169312,20;5999,68;-100878,92;74432,96;
1.01.02.06;ADIANTAMENTOS;0;4517,88;-4517,88;0;
1.01.02.06.04;ADIANTAMENTOS INSS;0;4517,88;-4517,88;0;
902782;SALARIO FAMILIA;0;260,00;-260,00;0;
902783;SALARIO MATERNIDADE;0;4257,88;-4257,88;0;
1.01.03;ESTOQUES;68585409,13;8805717,93;-6942878,66;70448248,40;
1.01.03.01;ESTOQUES MASSEY;50503280,18;7507981,01;-5711613,76;52299647,43;
905208;COLHEITADEIRAS;6963204,04;1434626,09;0;8397830,13;
909493;LUBRIFICANTES AGCO;480221,26;62609,91;-127153,95;415677,22;
905223;MASSEY SHOP;94084,99;99960,76;-67484,86;126560,89;
905210;PEÇAS;9279379,73;990327,35;-1036185,01;9233522,07;
905234;PLANTADEIRAS;12103520,45;0;0;12103520,45;
913935;PLATAFORMAS;2117429,32;289909,15;0;2407338,47;
905209;PULVERIZADORES;6931767,64;0;0;6931767,64;
905207;TRATORES NOVOS;12533672,75;4630547,75;-4480789,94;12683430,56;
1.01.03.02;ESTOQUE DE USADOS;11709407,00;356739,00;-356739,00;11709407,00;
905213;MAQUINAS;11709407,00;356739,00;-356739,00;11709407,00;
1.01.03.03;ESTOQUE OUTRAS MARCAS;6116528,95;940997,92;-728582,90;6328943,97;
905212;IMPLEMENTOS;2697710,79;647353,71;-331927,38;3013137,12;
905216;LUBRIFICANTES;203323,91;2414,29;-13368,88;192369,32;
905211;PEÇAS;3084112,80;181605,34;-265852,21;2999865,93;
905219;PNEUS;131381,45;109624,58;-117434,43;123571,60;
