SM TRATORES LTDA;CNPJ: 02.367.369/0001-62;NIRE: 31205375095;
FILIAL: Todas;SINTÉTICA INICIAL: .  .  .  .  . .;SINTÉTICA FINAL: 9.99.99.99.99.9.;DATA: 25/09/2025 HORA: 11:10:02;
PERÍODO DE: 01/04/2023 A 30/04/2023;NÍVEL: 9  DIÁRIO:     0 INCLUI CONTAS INTEGRADAS?: Não;
BALANCETE MENSAL:  DA FILIAL UNAI;

Código;Descrição da conta;Saldo anterior;Débito;Crédito;Saldo atual;
1;ATIVO;138706818,42;155685541,58;-152245491,58;142146868,42;
1.01;ATIVO CIRCULANTE;99387345,88;101800393,32;-98406143,24;102781595,96;
1.01.01;CAIXA E EQUIVALENTES DE CAIXA;4605183,69;48184226,51;-50336952,29;2452457,91;
1.01.01.01;CAIXA E EQUIVALENTES DE CAIXA;9770,32;1923483,61;-1921115,24;12138,69;
129;CAIXA FILIAL (BRASILIA);2673,20;14617,00;-15041,00;2249,20;
910046;CAIXA FILIAL (CRISTALINA);830,49;25861,91;-26456,79;235,61;
906982;CAIXA FILIAL (FORMOSA);1300,63;74509,28;-72650,48;3159,43;
86;CAIXA MATRIZ (UNAI);4966,00;1808495,42;-1806966,97;6494,45;
1.01.01.02;BANCOS;488250,55;35146759,45;-35310355,47;324654,53;
902735;BANCO BRADESCO C/C 37277-3 - BSB;1841,14;0;-121,90;1719,24;
902725;BANCO BRADESCO S/A 7777-1;1356,92;115212,11;-118148,05;-1579,02;
902728;BANCO BRADESCO S/A C/C 13171-7 (FUNDO);287090,93;1702581,80;-1987348,46;2324,27;
902731;BANCO BRADESCO S/A C/C 242.216-6;179719,58;0;0;179719,58;
1522;BANCO DO BRASIL S/A 4699-X;0;28804415,27;-28804415,27;0;
902724;BANCO ITAU S/A AG: 1505 C/C 10666-4;8600,30;15275,27;-172,90;23702,67;
905393;BANCO SANTANDER CONTA 13 002899-2;13,26;0;0;13,26;
909323;CAIXA ECONOMICA FEDERAL C/C 00000075-6;5333,37;4500000,00;-4400127,00;105206,37;
902732;SICOOB CREDIUNAI;4295,05;9275,00;-21,89;13548,16;
1.01.01.04;APLICACOES FINANCEIRAS;4053506,60;11075732,48;-13067230,61;2062008,47;
911836;APLICACOES BANCO BRASIL RENDE FACIL;3865554,07;9784205,18;-12366383,35;1283375,90;
905374;APLICACOES FUNDO CAPITALIZACAO REDE;187952,53;1291527,30;-700847,26;778632,57;
1.01.01.05;BAIXAS FINANCEIRAS ENTRE FILIAIS;0;38250,97;-38250,97;0;
903264;TRANSFERENCIA DE NUMERARIOS;0;38250,97;-38250,97;0;
1.01.01.07;CREDITOS DE CLIENTES;53656,22;0;0;53656,22;
902747;CHEQUES A RECEBER;53656,22;0;0;53656,22;
1.01.02;CREDITOS - EXCLUIR;32706833,10;15399456,11;-10358041,50;37748247,71;
1.01.02.01;CLIENTES;26716378,97;15279338,61;-10357541,01;31638176,57;
1.01.02.02;CREDITOS;5313077,19;119617,01;0;5432694,20;
904857;CHEQUES A RECEBER;5152028,23;0;0;5152028,23;
904647;DEVOLUCOES DE COMPRAS;161048,96;119617,01;0;280665,97;
1.01.02.06;ADIANTAMENTOS;0;500,49;-500,49;0;
1.01.02.06.04;ADIANTAMENTOS INSS;0;500,49;-500,49;0;
902782;SALARIO FAMILIA;0;500,49;-500,49;0;
1.01.02.08;OUTROS CREDITOS - EXCLUIR;677376,94;0;0;677376,94;
1.01.02.08.01;OUTROS CREDITOS - EXCLUIR;677376,94;0;0;677376,94;
902785;CONTAS A RECEBER;677376,94;0;0;677376,94;
1.01.03;ESTOQUES;59159960,97;36164155,52;-35813939,50;59510176,99;
1.01.03.01;ESTOQUES MASSEY;43231276,15;32082913,07;-32874551,98;42439637,24;
905208;COLHEITADEIRAS;5171580,88;11994879,11;-10374554,25;6791905,74;
