SM TRATORES LTDA;CNPJ: 02.367.369/0001-62;NIRE: 31205375095;
FILIAL: Todas;SINTÉTICA INICIAL: .  .  .  .  . .;SINTÉTICA FINAL: 9.99.99.99.99.9.;DATA: 25/09/2025 HORA: 11:14:27;
PERÍODO DE: 01/10/2023 A 31/10/2023;NÍVEL: 9  DIÁRIO:     0 INCLUI CONTAS INTEGRADAS?: Não;
BALANCETE MENSAL:  DA FILIAL UNAI;

Código;Descrição da conta;Saldo anterior;Débito;Crédito;Saldo atual;
1;ATIVO;182094070,68;222609238,37;-229107270,91;175596038,14;
1.01;ATIVO CIRCULANTE;141106159,23;137447667,41;-143952670,57;134601156,07;
1.01.01;CAIXA E EQUIVALENTES DE CAIXA;1138516,05;54365441,17;-54177310,25;1326646,97;
1.01.01.01;CAIXA E EQUIVALENTES DE CAIXA;13319,69;377472,51;-380421,12;10371,08;
129;CAIXA FILIAL (BRASILIA);4225,22;41367,24;-43127,14;2465,32;
910046;CAIXA FILIAL (CRISTALINA);1933,10;71147,51;-71423,71;1656,90;
906982;CAIXA FILIAL (FORMOSA);707,43;152082,36;-151226,45;1563,34;
86;CAIXA MATRIZ (UNAI);6453,94;112875,40;-114643,82;4685,52;
1.01.01.02;BANCOS;698682,23;40653639,89;-41090181,48;262140,64;
902735;BANCO BRADESCO C/C 37277-3 - BSB;491,35;0;-126,50;364,85;
902725;BANCO BRADESCO S/A 7777-1;630,50;70613,67;-69785,68;1458,49;
902728;BANCO BRADESCO S/A C/C 13171-7 (FUNDO);483156,22;1688311,06;-2148419,20;23048,08;
902731;BANCO BRADESCO S/A C/C 242.216-6;179719,58;0;0;179719,58;
1522;BANCO DO BRASIL S/A 4699-X;0;32705981,85;-32678449,55;27532,30;
902724;BANCO ITAU S/A AG: 1505 C/C 10666-4;-39,28;350,00;-297,88;12,84;
905393;BANCO SANTANDER CONTA 13 002899-2;47,00;0;-16,00;31,00;
909323;CAIXA ECONOMICA FEDERAL C/C 00000075-6;807,45;60000,00;-57548,26;3259,19;
902732;SICOOB CREDIUNAI;33869,41;6128383,31;-6135538,41;26714,31;
1.01.01.04;APLICACOES FINANCEIRAS;372857,91;10390705,07;-9763083,95;1000479,03;
911836;APLICACOES BANCO BRASIL RENDE FACIL;178966,07;9383739,32;-8617448,68;945256,71;
905396;APLICACOES BANCO SANTANDER CONTAMAX;67,31;0,02;0;67,33;
905374;APLICACOES FUNDO CAPITALIZACAO REDE;193824,53;1006965,73;-1145635,27;55154,99;
1.01.01.05;BAIXAS FINANCEIRAS ENTRE FILIAIS;0;2943623,70;-2943623,70;0;
903264;TRANSFERENCIA DE NUMERARIOS;0;2943623,70;-2943623,70;0;
1.01.01.07;CREDITOS DE CLIENTES;53656,22;0;0;53656,22;
902747;CHEQUES A RECEBER;53656,22;0;0;53656,22;
1.01.02;CREDITOS - EXCLUIR;67436022,98;31722518,20;-40012916,17;59145625,01;
1.01.02.01;CLIENTES;64855203,49;31704997,89;-39993515,36;56566686,02;
1.01.02.02;CREDITOS;1899304,97;14908,59;-16789,09;1897424,47;
904857;CHEQUES A RECEBER;1604738,23;0;0;1604738,23;
904647;DEVOLUCOES DE COMPRAS;294566,74;14908,59;-16789,09;292686,24;
