SM TRATORES LTDA;CNPJ: 02.367.369/0001-62;NIRE: 31205375095;
FILIAL: Todas;SINTÉTICA INICIAL: .  .  .  .  . .;SINTÉTICA FINAL: 9.99.99.99.99.9.;DATA: 25/09/2025 HORA: 10:40:51;
PERÍODO DE: 01/04/2021 A 30/04/2021;NÍVEL: 9  DIÁRIO:     0 INCLUI CONTAS INTEGRADAS?: Não;
BALANCETE MENSAL:  DA FILIAL UNAI;

Código;Descrição da conta;Saldo anterior;Débito;Crédito;Saldo atual;
1;ATIVO;37077395,36;47640653,56;-45611741,52;39106307,40;
1.01;ATIVO CIRCULANTE;31425183,69;34703607,54;-32688197,13;33440594,10;
1.01.01;CAIXA E EQUIVALENTES DE CAIXA;707182,76;21753133,61;-19350623,23;3109693,14;
1.01.01.01;CAIXA E EQUIVALENTES DE CAIXA;17601,12;1199317,12;-1197678,60;19239,64;
129;CAIXA FILIAL (BRASILIA);1249,35;0;0;1249,35;
906982;CAIXA FILIAL (FORMOSA);3300,90;175750,39;-173050,04;6001,25;
86;CAIXA MATRIZ (UNAI);13050,87;1023566,73;-1024628,56;11989,04;
1.01.01.02;BANCOS;105705,88;13804728,32;-13270907,22;639526,98;
902735;BANCO BRADESCO C/C 37277-3 - BSB;880,78;268,00;-865,37;283,41;
902725;BANCO BRADESCO S/A 7777-1;1896,95;4393,20;-2682,55;3607,60;
902728;BANCO BRADESCO S/A C/C 13171-7 (FUNDO);573,38;1184721,38;-1173966,96;11327,80;
902731;BANCO BRADESCO S/A C/C 242.216-6;91164,53;0;0;91164,53;
1522;BANCO DO BRASIL S/A 4699-X;0;11862416,41;-11862416,41;0;
902724;BANCO ITAU S/A AG: 1505 C/C 10666-4;223,06;29250,00;-29198,28;274,78;
905393;BANCO SANTANDER CONTA 13 002899-2;322,50;0;-103,00;219,50;
909323;CAIXA ECONOMICA FEDERAL C/C 00000075-6;9158,22;414050,27;-161017,99;262190,50;
902732;SICOOB CREDIUNAI;1486,46;309629,06;-40656,66;270458,86;
1.01.01.04;APLICACOES FINANCEIRAS;477751,10;6430229,14;-4566235,43;2341744,81;
902745;APLICACOES BANCO BRADESCO S/A 7777-1 - UNAÍ;-0,34;0;0;-0,34;
902742;APLICACOES BANCO BRASIL C/C 7751-8;266804,49;5428697,57;-4393727,31;1301774,75;
906141;APLICACOES BANCO SANTANDER  C/C 13 002899-2;104,15;0;0;104,15;
905396;APLICACOES BANCO SANTANDER CONTAMAX;1497,05;0;0;1497,05;
902744;APLICACOES BCO BRADESCO S/A 37277-3 - BSB;33,21;0;0;33,21;
905374;APLICACOES FUNDO CAPITALIZACAO REDE;209312,54;1001531,57;-172508,12;1038335,99;
1.01.01.05;BAIXAS FINANCEIRAS ENTRE FILIAIS;0;219540,56;-219540,56;0;
903264;TRANSFERENCIA DE NUMERARIOS;0;219540,56;-219540,56;0;
1.01.01.07;CREDITOS DE CLIENTES;106124,66;99318,47;-96261,42;109181,71;
902748;CARTAO DE DEBITO/CREDITO;52468,44;99318,47;-96261,42;55525,49;
902747;CHEQUES A RECEBER;53656,22;0;0;53656,22;
1.01.02;CREDITOS - EXCLUIR;11255283,80;5668202,55;-5208183,93;11715302,42;
1.01.02.01;CLIENTES;10303947,36;5651144,12;-5143071,37;10812020,11;
1.01.02.02;CREDITOS;273959,50;16955,89;-65010,02;225905,37;
904857;CHEQUES A RECEBER;227627,72;4037,50;-56277,00;175388,22;
904647;DEVOLUCOES DE COMPRAS;46331,78;12918,39;-8733,02;50517,15;
1.01.02.06;ADIANTAMENTOS;0;102,54;-102,54;0;
1.01.02.06.04;ADIANTAMENTOS INSS;0;102,54;-102,54;0;
902782;SALARIO FAMILIA;0;102,54;-102,54;0;
1.01.02.08;OUTROS CREDITOS - EXCLUIR;677376,94;0;0;677376,94;
1.01.02.08.01;OUTROS CREDITOS - EXCLUIR;677376,94;0;0;677376,94;
902785;CONTAS A RECEBER;677376,94;0;0;677376,94;
1.01.03;ESTOQUES;18447730,02;6742948,18;-7617552,82;17573125,38;
1.01.03.01;ESTOQUES MASSEY;14829339,67;5427738,45;-6921455,45;13335622,67;
905208;COLHEITADEIRAS;1625377,07;2611068,71;-3604792,15;631653,63;
905229;EQUIPAMENTOS IND. MASSEY;2090048,59;743766,32;-743766,32;2090048,59;
909493;LUBRIFICANTES AGCO;342316,58;175551,97;-108948,11;408920,44;
905223;MASSEY SHOP;71943,41;43027,12;-13344,74;101625,79;
905210;PEÇAS;3562517,31;921532,51;-585020,49;3899029,33;
905234;PLANTADEIRAS;1362162,06;0;0;1362162,06;
905209;PULVERIZADORES;726856,93;0;0;726856,93;
905207;TRATORES NOVOS;5048117,72;932791,82;-1865583,64;4115325,90;
1.01.03.02;ESTOQUE DE USADOS;992999,08;726710,42;0;1719709,50;
905213;MAQUINAS;992999,08;726710,42;0;1719709,50;
1.01.03.03;ESTOQUE OUTRAS MARCAS;2625391,27;588499,31;-696097,37;2517793,21;
905212;IMPLEMENTOS;1059019,93;233866,89;-493545,46;799341,36;
905216;LUBRIFICANTES;65278,04;21478,48;-15511,98;71244,54;
905211;PEÇAS;1501093,30;333153,94;-187039,93;1647207,31;
1.01.04;ADIANTAMENTOS;362293,33;56072,48;-18450,64;399915,17;
1.01.04.01;ADIANTAMENTOS;362293,33;56072,48;-18450,64;399915,17;
902047;ADIANTAMENTO DE FORNECEDORES;354612,38;54522,48;-17719,69;391415,17;
902778;ADIANTAMENTO DE SALARIO;7680,95;1550,00;-730,95;8500,00;
1.01.05;IMPOSTOS E CONTRIBUICOES A RECUPERAR;368764,97;481334,76;-493386,51;356713,22;
1.01.05.01;IMPOSTOS E CONTRIBUICOES A RECUPERAR;368764,97;481334,76;-493386,51;356713,22;
902772;COFINS A RECUPERAR;6304,13;67428,32;-49913,07;23819,38;
905734;COFINS RETIDO NA FONTE;3890,20;22,14;0;3912,34;
902770;CSRF RETIDO NA FONTE;2710,40;7,38;0;2717,78;
902765;ICMS A RECUPERAR;321976,52;399148,15;-432635,92;288488,75;
902768;IRRF A RECUPERAR;23748,20;11,07;0;23759,27;
905447;IRRF S/ APLICACOES FINANCEIRAS;6405,37;72,73;0;6478,10;
902776;ISS A RECUPERAR;1518,21;0;0;1518,21;
902771;PIS A RECUPERAR;1368,66;14640,17;-10837,52;5171,31;
905733;PIS RETIDO NA FONTE;843,28;4,80;0;848,08;
1.01.07;OUTROS CREDITOS;283928,81;1915,96;0;285844,77;
1.01.07.01;OUTROS CREDITOS;283928,81;1915,96;0;285844,77;
902790;CONSORCIO;283928,81;1915,96;0;285844,77;
1.02;NAO CIRCULANTE;5652211,67;13501,63;0;5665713,30;
1.02.01;REALIZAVEL A LONGO PRAZO;326560,58;10152,17;0;336712,75;
1.02.01.02;APLICACOES FINANCEIRA DE LONGO PRAZO;326560,58;10152,17;0;336712,75;
902801;APLICACOES BANCO BRADESCO FUNDO RISCO;88300,78;152,17;0;88452,95;
906094;BRASILPREV;90000,00;10000,00;0;100000,00;
904246;COTAS DE CAPITAL SICOOB;148259,80;0;0;148259,80;
1.02.07;CUSTO DE AQUISICOES DE IMOBILIZADO;7491422,42;3349,46;0;7494771,88;
1.02.07.01;CUSTO DE AQUISICOES DE IMOBILIZADO;7491422,42;3349,46;0;7494771,88;
